Unnamed: 0,Запрос,Уточнение запроса,Тип ДБО,Вопрос,Ссылка на видео,Ссылка на вопрос в FAQ,Где используется на сайте,Шаг 1,Шаг 2,Шаг 3,Шаг 4,Шаг 5,Шаг 6,Шаг 7,Шаг 8,Шаг 9,Шаг 10,Шаг 11,Шаг 12,Шаг 13,Шаг 14
175.0,Металлические счета,Реквизиты,ИБ,Как отправить реквизиты металлического счета на e-mail,,,,Вы можете выполнить эту операцию в мобильном банке,,,,,,,,,,,,,
185.0,Шаблоны,Просмотр ,ИБ,Как посмотреть список моих шаблонов,,,,Перейдите на вкладку «Мои продукты» или «Платежи и переводы»,"Перейдите раздел «Шаблоны» и нажмите на стрелку справа, чтобы посмотреть все шаблоны.",На экране появится список всех шаблонов,,,,,,,,,,,
187.0,Шаблоны,Создание из истории операций,ИБ,Как создать шаблон из истории операций,,,,Перейдите на вкладку «История операций»,Перейдите в раздел «В интернет-банке» — снизу отобразится история операций по всем продуктам,Выберите нужную операцию из списка и нажмите на нее,Внизу окна нажмите «Шаблон»,Придумайте имя шаблона и нажмите «Сохранить»,Шаблон успешно создан,,,,,,,,
189.0,Шаблоны,Создание после совершения платежа,ИБ,Как создать шаблон после совершения платежа или перевода,,,,После совершения платежа или перевода нажмите «Шаблон»,Введите название шаблона и нажмите «Сохранить»,Шаблон сохранен,,,,,,,,,,,
191.0,Автоплатежи,по расписанию,ИБ,Как создать автоплатеж по расписанию из истории операций,,https://www.open.ru/services/payments#586,,Перейдите на вкладку «История операций»,Перейдите в раздел «В интернет-банке» — снизу отобразится история операция по всем продуктам,Выберите в списке нужную операцию (кроме перевода с чужой карты на свою и переводов по номеру телефона) и нажмите на нее.,Нажмите «Автоплатеж».,"Введите название автоплатежа, сумму и укажите периодичность, с которой его нужно совершать: один раз, ежедневно, раз в неделю или раз в месяц. Если необходимо, уточните дату или период.",Подтвердите создание автоплатежа SMS-кодом.,Автоплатеж создан.,,,,,,,
193.0,Квитанции по операциям,Просмотр ,ИБ,Как посмотреть квитанцию по операции,,https://www.open.ru/services/payments#587,,После совершения перевода или платежа нажмите на иконку «Квитанция»,Квитанция откроется в соседней вкладке браузера,,,,,,,,,,,,
195.0,Квитанции по операциям,Скачивание,ИБ,Как скачать квитанцию по операции в формате pdf,,https://www.open.ru/services/payments#587,,Нажмите «Квитанция» после совершения платежа или в «Истории операций»,"Нажмите «Скачать квитанцию», чтобы сохранить ее на устройство",,,,,,,,,,,,
197.0,Шаблоны,Изменение,ИБ,Как изменить шаблон,,,,На вкладке «Мои продукты» или «Платежи и переводы» перейдите в раздел «Шаблоны» и нажмите нажмите на стрелку справа.,Нажмите на иконку карандаша справа от названия нужного шаблона,Измените данные и нажмите «Сохранить»,Шаблон успешно отредактирован,,,,,,,,,,
199.0,Шаблоны,Удаление ,ИБ,Как удалить шаблон,,,,"На вкладке «Мои продукты» или «Платежи и переводы» перейдите в раздел «Шаблоны» и нажмите на стрелку справа, чтобы посмотреть все шаблоны.",Нажмите на иконку с корзиной справа от названия шаблона,Нажмите «Удалить»,Шаблон исчезнет из списка,,,,,,,,,,
203.0,Платежи и переводы,Регион платежей,ИБ,Как поменять регион для платежей,,,,Перейдите на вкладку «Платежи и переводы»,Нажмите «Во всех регионах» справа над поиском,"Введите нужный регион или выберите его в строке поиска, нажмите на него",Город отобразится рядом со значком геолокации,,,,,,,,,,
205.0,Платежи и переводы,QR-код,ИБ,Как оплатить услуги по QR-коду,,,,Услуга доступна только в мобильном приложении,,,,,,,,,,,,,
207.0,Платежи и переводы,Сотовая связь,ИБ,Как оплатить услуги сотовой связи,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного оператора мобильной связи с помощью поиска или в разделе «Платежи» нажмите «Сотовая связь», а затем выберите оператора из списка","Введите номер телефона, укажите, откуда перевести деньги, сумму и нажмите «Оплатить»",Введите SMS-код для подтверждения операции.,"Чтобы оплачивать мобильную связь еще быстрее, создайте шаблон для платежа или настройте автоплатеж — по расписанию или при снижении баланса.",,,,,,,,,
209.0,Платежи и переводы,ЖКХ,ИБ,Как оплатить коммунальные платежи,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Коммунальные платежи», а затем выберите поставщика услуг из списка.
 
 Если поставщика не удалось найти, оплатите услугу по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите необходимые данные и нажмите «Продолжить»,Введите сумму и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать услуги еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,
211.0,Платежи и переводы,Электронные деньги,ИБ,Как пополнить электронный кошелек,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужный кошелек с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Электронные деньги», а затем выберите кошелек из списка. 
 
 Если кошелек не удалось найти, пополните его по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».","Введите номер кошелька и сумму, нажмите «Оплатить»",Введите SMS-код для подтверждения,"Чтобы пополнять кошелек еще быстрее, создайте шаблон для платежа или настройте автоплатеж: кошелек будет пополняться автоматически по расписанию, которое вы зададите.",,,,,,,,,
213.0,Платежи и переводы,Интернет,ИБ,Как оплатить интернет,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного провайдера с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Интернет», а затем выберите провайдера из списка. 
 
 Если провайдера не удалось найти, оплатите интернет по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».","Введите номер лицевого счета и сумму, нажмите «Оплатить»",Введите SMS-код для подтверждения,"Чтобы оплачивать интернет еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
215.0,Платежи и переводы,Домашний телефон,ИБ,Как оплатить домашний телефон,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Домашний телефон», а затем выберите нужную компанию из списка. 
 
 Если поставщика не удалось найти, оплатите телефон по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите необходимые данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать телефон еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
217.0,Платежи и переводы,Услуги банков,ИБ,Как оплатить услуги банков (счета и кредиты),,,,Перейдите на вкладку «Платежи и переводы»,"Найдите банк с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Услуги банков (счета и кредиты)», а затем выберите нужный банк из списка. 
 
 Если банк не удалось найти, оплатите его услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».","Введите данные банка, сумму и нажмите «Оплатить»",Введите SMS-код для подтверждения,"Чтобы оплачивать услуги банков еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
221.0,Платежи и переводы,Транспорт,ИБ,Как оплатить услуги транспорта,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите поставщика услуг/транспортную карту с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Транспорт», а затем выберите поставщика/транспортную карту из списка. 
 
 Если поставщика/транспортную карту не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать транспорт еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,Ета ничаянна прастити,,,,,
223.0,Платежи и переводы,Образовательные учреждения,ИБ,Как оплатить услуги образовательных учреждений,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужное учреждение с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Образовательные учреждения», а затем выберите учреждение из списка. 
 
 Если учреждение не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».","Введите необходимые данные и сумму, нажмите «Оплатить»",Введите SMS-код для подтверждения,"Чтобы оплачивать услуги образовательных учреждений еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
225.0,Платежи и переводы,Телевидение,ИБ,Как оплатить телевидение,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Телевидение», а затем выберите поставщика из списка. 
 
 Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».","Введите необходимые данные и сумму, нажмите «Оплатить»",Введите SMS-код для подтверждения,"Чтобы оплачивать телевидение еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
227.0,Платежи и переводы,Игры и развлечения,ИБ,Как оплатить услуги игр и развлечений,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Игры и развлечения», а затем выберите поставщика из списка. 
 
 Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать любимые игры и развлечения еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
229.0,Платежи и переводы,Торговля,ИБ,"Как оплатить Avon, Faberlic, Oriflame, Mary Kay и т.д.",,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Торговля», а затем выберите поставщика из списка. 
 
 Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать товары еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
231.0,Платежи и переводы,Охранные системы,ИБ,Как оплатить услуги охранной системы,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Охранные системы», а затем выберите поставщика из списка. 
 
 Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать охранные системы еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
233.0,Платежи и переводы,Страхование,ИБ,Как оплатить услуги страхования,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Страхование», а затем выберите поставщика из списка. 
 
 Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Продолжить»,Введите сумму платежа и нажмите «Оплатить»,"Чтобы оплачивать услуги страхования еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
235.0,Платежи и переводы,Туристические услуги,ИБ,Как оплатить туристические услуги,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужную компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Туристические услуги», а затем выберите компанию из списка. 
 
 Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать туристические услуги еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
237.0,Платежи и переводы,Авиа и ж/д билеты,ИБ,Как оплатить авиа и ж/д билеты,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужную компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Авиа и ж/д билеты», а затем выберите компанию из списка. 
 
 Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать билеты еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
239.0,Платежи и переводы,Пенсионные взносы,ИБ,Как оплатить пенсионные взносы,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Авиа и ж/д билеты», а затем выберите компанию из списка. 
 
 Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Продолжить» или «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать пенсионнные взносы еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
241.0,Платежи и переводы,Поиск поставщика,ИБ,Как найти и оплатить услуги поставщика,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите поставщика услуг с помощью поиска по названию/ИНН. 
 
 Если нужного поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».","Введите необходимые данные, сумму и нажмите «Оплатить»",Введите SMS-код для подтверждения операции,"Чтобы оплачивать услуги еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
243.0,Платежи и переводы,Благотворительность,ИБ,Как перевести деньги на благотворительность,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите благотворительный фонд с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Благотворительность», а затем выберите нужный фонд из списка. 
 
 Если нужную фонд не удалось найти, переведите деньги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы переводить деньги на благотворительность еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,,,
257.0,Данные клиента,просмотр ,ИБ,Как посмотреть мои ФИО и телефон,,,,"Ваше имя указано в правом верхнем углу экрана. Телефон, который используется для входа в мобильный или интернет-банк, можно посмотреть только в мобильном банке",,,,,,,,,,,,,
261.0,Платежи и переводы,По номеру телефона,ИБ,Как разрешить переводы по номеру телефона,,https://www.open.ru/services/payments#603,,Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,Нажмите «Настройки переводов»,"Назмите на кнопку напротив текста «Разрешить получение переводов по номеру телефона» — вы сможете получать переводы по номеру телефона из других банков через Систему быстрых платежей и внутри банка, с карт «Открытия»",Выберите счет для получения переводов,,,,,,,,,,
277.0,Профиль,,ИБ,Как выйти из учетной записи,,,,В правом верхнем углу экрана нажмите «Выйти» рядом с вашим именем,,,,,,,,,,,,,
287.0,Накопительные счета,Реквизиты,ИБ,Как узнать международные реквизиты валютного накопительного счета,,https://www.open.ru/deposits/savings_account/faq#1237,https://www.open.ru/deposits/savings_account/faq,Перейдите в раздел «Мои продукты».,В разделе «Счета» нажмите «Накопительные».,Выберите нужный долларовый счет и нажмите «Реквизиты».,Нажмите «$» — в новом окне появятся международные реквизиты.,"Чтобы скопировать отдельные строки, нажмите иконку документов справа. Чтобы скопировать все реквизиты — кнопку «Скопировать все».",,,,,,,,,
293.0,Платежи и переводы,По номеру телефона,ИБ,Как перевести деньги по номеру телефона в другой банк,,https://www.open.ru/services/payments#604,,Перейдите на вкладку «Платежи и переводы»,В разделе «Переводы» нажмите «Перевод по номеру телефона»,"Выберите, откуда перевсти деньги, введите номер телефона получателя, выберие банк получателя, сумму перевода и нажмите «Перевести»",Введите SMS-код для подтверждения,"Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.",,,,,,,,,
297.0,Платежи и переводы,На счет физлица,ИБ,Как перевести деньги другому человеку или себе на счет в другом банке по реквизитам,,https://www.open.ru/services/payments#1047,,Перейдите на вкладку «Платежи и переводы»,В разделе «Переводы» нажмите «Перевод по реквизитам»,"Введите номер счета получателя, БИК, сумму, укажите назначение платежа и вид выплат. Нажмите «Перевести»",Введите SMS-код для подтверждения,"Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.",,,,,,,,,
299.0,Платежи и переводы,С карты на карту,ИБ,Как перевести деньги с карты на карту,,https://www.open.ru/services/payments#602,,Перейдите на вкладку «Платежи и переводы»,В разделе «Переводы» нажмите «Перевод с карты на карту»,"Выберите карту, с которой хотите перевести деньги и карту, на которую хотите отправить платеж. Если переводите не со своей карты «Открытие», не забудьте ввести срок действия карты и cvv-код. Введите сумму и нажмите «Перевести»",Введите SMS-код для подтверждения,"Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.",,,,,,,,,
301.0,Платежи и переводы,Между своими счетами,ИБ,Как перевести деньги между своими счетами,,https://www.open.ru/services/payments#610,,Перейдите на вкладку «Платежи и переводы»,В разделе «Переводы» нажмите «Перевод между своими счетами и картами»,"Выберите карту или счет, введите сумму и нажмите «Перевести»",Нажмите «Подтвердить»,"Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.",,,,,,,,,
303.0,Платежи и переводы,По реквизитам ЮЛ/ИП,ИБ,Как перевести деньги по реквизитам юридическим лицам/ИП,,https://www.open.ru/services/payments#1047,,Перейдите на вкладку «Платежи и переводы»,В разделе «Переводы» нажмите «Перевод по реквизитам»,"Введите номер счета и БИК получателя, нажмите «Перевести»",Введите SMS-код для подтверждения,"Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.",,,,,,,,,
309.0,Платежи и переводы,По номеру телефона,ИБ,Как отключить переводы по номеру телефона из других банков,,https://www.open.ru/services/payments#606,,Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,Нажмите «Настройки переводов»,Нажмите «Разрешить переводы по номеру телефона из других банков». Кнопка станет серой,Переводы по номеру телефона выключены,,,,,,,,,,
311.0,Платежи и переводы,По номеру телефона,ИБ,Как выбрать счет для получения переводов по номеру телефона,,https://www.open.ru/services/payments#607,,Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,Нажмите «Настройки переводов»,"Нажмите на галочку для выбора карты, на которую будут осуществляться переводы, выберите счет или карту",,,,,,,,,,,
313.0,Карты,SMS-уведомления,ИБ,Как отключить уведомления для карты,,,,Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,Выберите раздел «SMS-инфо»,Выберите нужную карту и нажмите «Отключить / изменить номер»,,,,,,,,,,,
314.0,Карты,Справки и выписки,ИБ,Как получить справку о доступном остатке на русском языке,,https://www.open.ru/faq#346,"https://www.open.ru/faq#346
 
 https://www.open.ru/credit_cards/faq#1076",На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Справки»,Нажмите «О доступном остатке на русском языке»,"Нажмите «Скачать», чтобы сохранить справку отдельным файлом на своем ПК","Чтобы отправить справку по электронной почте, нажмите «Отправить на e-mail», введите e-mail и нажмите «Отправить»",Справка успешно отправлена,,,,,,,,,
315.0,Карты,Справки и выписки,ИБ,Как получить справку о доступном остатке на английском языке,,https://www.open.ru/faq#346,"https://www.open.ru/faq#346
 
 
 https://www.open.ru/credit_cards/faq#1076",На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Справки»,Нажмите «О доступном остатке на английском языке»,"Нажмите «Скачать», чтобы сохранить справку отдельным файлом на своем ПК","Нажмите «Отправить на e-mail», чтобы отправить справку по электронной почте. Введите e-mail и нажмите «Отправить»",Справка успешно отправлена,,,,,,,,,
316.0,Карты,Справки и выписки,ИБ,Как получить справку о движении денежных средств,,https://www.open.ru/faq#298,"https://www.open.ru/faq#298
 
 https://www.open.ru/credit_cards/faq#1075",На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Справки»,Нажмите «О движении денежных средств»,"Выберите срок, за который хотите сформировать справку, нажмите «Скачать», чтобы сохранить справку отдельным файлом на своем ПК","Нажмите «Отправить на e-mail», чтобы отправить справку по электронной почте. Введите e-mail и нажмите «Отправить»",Справка успешно отправлена,,,,,,,,,
320.0,Платежи и переводы,По номеру телефона,ИБ,Как перевести деньги на свой счет в другой банк по номеру телефона,,https://www.open.ru/services/payments#605,,Перейдите на вкладку «Платежи и переводы»,В разделе «Переводы» нажмите «Перевод между своими счетами»,"В поле «Откуда» выберите, с какого счета/карты перевести деньги",В поле «Куда» выберите «На свой счет в другой банк».,"В поле «Банк получателя» выберите банк, укажите сумму и нажмите «Перевести». 
 
 Примечание: Перевод по номеру телефону отправится с помощью Системы быстрых платежей (СБП)",Введите SMS-код для подтверждения,Перевод принят в обработку. Срок зачисления денег от нескольких минут до нескольких дней,,,,,,,
325.0,Кредитные карты,Лимиты,ИБ,Как узнать лимит по кредитной карте,,https://www.open.ru/credit_cards/faq#1058,https://www.open.ru/credit_cards/faq#1058,Во вкладке «Мои продукты» найдите нужную кредитную карту. Лимит кредитной карты указан справа под ее балансом,,,,,,,,,,,,,
328.0,Кредитные карты,Минимальный ежемесячный платеж,ИБ,Как узнать сумму минимального ежемесячного платежа,,https://www.open.ru/credit_cards/faq#1071,https://www.open.ru/credit_cards/faq#1071,На вкладке «Мои продукты» в разделе «Кредиты» найдите нужную кредитную карту,Сумма минимального ежемесячного платежа будет указана под текстом «Скрыть операции и детали»,,,,,,,,,,,,
330.0,Кредитные карты,Дата платежа,ИБ,Как узнать дату внесения минимального ежемесячного платежа,,https://www.open.ru/credit_cards/faq#1072,https://www.open.ru/credit_cards/faq#1072,Дату внесения минимального ежемесячного платежа можно узнать в мобильном банке,,,,,,,,,,,,,
332.0,Кредитные карты,Общая задолженность,ИБ,Как узнать общую задолженность по кредитной карте,,https://www.open.ru/credit_cards/faq#1073,https://www.open.ru/credit_cards/faq#1073,На вкладке «Мои продукты» выберите нужную кредитную карту и нажмите на «Показать операции и детали»,Сумма общей задолженности будет указана под текстом «Скрыть операции и детали»,,,,,,,,,,,,
333.0,Вход в интернет-банк,Изменение данных,ИБ,Как поменять логин или пароль для входа в интернет-банк,,,,Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,"Выберите «Настройки входа» и нажмите на карандаш справа от логина или пароля для того, чтобы их изменить","Нажмите на карандаш, введите новый логин и текущий пароль. Нажмите «Сохранить»",Введите SMS-код для подтверждения операции,"Чтобы изменить пароль, нажмите на карандаш справа от пароля","В новом окне введите новый пароль два раза, а также текущий пароль для подтверждения операции. Нажмите «Сохранить»",Подтвердите изменения и введите SMS-код,,,,,,,
336.0,Обмен валют,Курс валют,ИБ,Как посмотреть курсы валют,,,,Курсы валют отображаются в верхней части страницы под вашим именем,"Чтобы посмотреть подробнее, наведите курсор на курсы валют",,,,,,,,,,,,
338.0,Обмен валют,С валютным счетом,ИБ,"Как обменять валюту, если есть валютный счет",,,https://www.open.ru/important#1083,Наведите курсор мыши на курсы валют — они отображаются в верхней части экрана под вашим именем,В появившемся окне нажмите «Обменять валюту»,"Выберите карту или счет, откуда хотите снять деньги и карту, куда хотите перевести деньги (они должны быть в разных валютах), введите сумму и нажмите «Перевести»",Нажмите «Подтвердить»,Перевод принят в обработку,,,,,,,,,
